"year","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2000,"no2_praries_lag_1","no2_naps",0.971456644115712,0.928239407924937,29504.6
2001,"no2_praries_lag_1","no2_naps",0.973894206878061,0.929869326037425,30607.6
2002,"no2_praries_lag_1","no2_naps",0.688512430814176,0.640924467018525,40138.2
2003,"no2_praries_lag_1","no2_naps",0.952570048123789,0.937820070739316,40242.8
2004,"no2_praries_lag_1","no2_naps",0.956667953986535,0.943029824451854,40319
2005,"no2_praries","no2_naps",0.961244416197687,0.961244416197687,47512.2
2006,"no2_praries","no2_naps",0.958149813251294,0.958149813251294,47822.6
2007,"no2_praries_lag_1","no2_naps",0.97089642762694,0.926426382252189,39467.6
2008,"no2_praries_lag_1","no2_naps",0.969866685189155,0.925004785877124,46579.6
2009,"no2_praries","no2_naps",0.961958106260772,0.961958106260772,50379
2010,"no2_praries","no2_naps",0.957267362467037,0.957267362467037,54633.2
2011,"no2_praries","no2_naps",0.965073807208986,0.965073807208986,49305.6
2012,"no2_praries","no2_naps",0.954645751122744,0.954645751122744,54266
2013,"no2_praries","no2_naps",0.959890018432319,0.959890018432319,58093.2
2014,"no2_praries","no2_naps",0.960915536485915,0.960915536485915,49852.8
2015,"no2_praries","no2_naps",0.952375829205173,0.952375829205173,50851.2
2016,"no2_praries","no2_naps",0.958773910633143,0.958773910633143,40941.2
2017,"no2_praries","no2_naps",0.97357083822311,0.97357083822311,41015.8
2018,"no2_praries","no2_naps",0.968864312700638,0.968864312700638,51096
2019,"no2_praries","no2_naps",0.973823575759397,0.973823575759397,50783.6
2020,"no2_praries","no2_naps",0.981338874595086,0.981338874595086,53079
2021,"no2_praries","no2_naps",0.985695200506485,0.985695200506485,59872
2022,"no2_praries","no2_naps",0.986417977082409,0.986417977082409,60134.4
2023,"no2_praries","no2_naps",0.992745218919047,0.992745218919047,59528.6
2024,"no2_praries","no2_naps",0.998209831064404,0.998209831064404,53
